,Accountable_Organization,Implementing_Organization,Award_Status,Award_Total_Estimated_Value,Award_Start_Date,Award_End_Date,Award_Transaction_Value,Award_Transaction_DAC_Purpose_Code,Award_Transaction_DAC_Purpose_Code_Name,Award_Transaction_US_Foreign_Assistance_Category,Year
3118,U.S. Department of State,CELESTAR CORPORATION,Completion ,6500000.0,2016-05-03,2018-05-02,13643.2,43010,Multisector aid,Multi-sector,2016
3122,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,0.0,2012-12-17,2018-09-30,5962303.0,72040,Emergency food aid,Humanitarian Assistance,2012
3124,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2013-10-01,2015-09-30,1385.3,43010,Multisector aid,Program Management,2013
3126,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2014-01-31,2017-09-30,117492.509999999,72010,Material relief assistance and services,Humanitarian Assistance,2014
3127,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2012-10-01,2014-09-30,4297.75,72010,Material relief assistance and services,Humanitarian Assistance,2012
3128,U.S. Agency for International Development,Enterprise - Non United States Unknown,Completion,0.0,2013-10-01,2015-09-30,972.0,72010,Material relief assistance and services,Humanitarian Assistance,2013
3129,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,2996600.0,2015-09-01,2017-09-30,181050.12,72010,Material relief assistance and services,Humanitarian Assistance,2015
3130,U.S. Agency for International Development,Vendor implementing direct administrative services,Completion,0.0,2015-10-01,2016-09-30,62697.16,43010,Multisector aid,Program Management,2015
3131,U.S. Agency for International Development,U.S. Government - Department of State,Completion,0.0,2015-10-01,2016-09-30,1875.0,72010,Material relief assistance and services,Humanitarian Assistance,2015
3132,U.S. Agency for International Development,Dexis Consulting Group,Implementation,12333368.0,2014-10-01,2018-09-30,352240.969999999,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2014
3133,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2015-10-01,2017-09-30,5945.52,72010,Material relief assistance and services,Humanitarian Assistance,2015
3134,U.S. Agency for International Development,United Nations Population Fund,Completion,0.0,2012-10-01,2017-09-30,336784.0,72010,Material relief assistance and services,Humanitarian Assistance,2012
3135,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2014-10-01,2017-09-30,522.0,72010,Material relief assistance and services,Humanitarian Assistance,2014
3136,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2015-10-01,2017-09-30,7133.0,72010,Material relief assistance and services,Humanitarian Assistance,2015
3137,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,89629212.0,2013-08-28,2018-09-30,426713.0,72040,Emergency food aid,Humanitarian Assistance,2013
3139,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,0.0,2016-10-01,2018-09-30,3381.34,74010,Disaster prevention and preparedness,Humanitarian Assistance,2016
3140,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2014-10-01,2017-09-30,11014.0,72010,Material relief assistance and services,Humanitarian Assistance,2014
3141,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,0.0,2013-08-28,2018-09-30,1851500.0,72040,Emergency food aid,Humanitarian Assistance,2013
3142,U.S. Department of State,CELESTAR CORPORATION,Completion ,6500000.0,2016-05-03,2018-05-02,4000.0,43010,Multisector aid,Multi-sector,2016
3143,U.S. Agency for International Development,U.S. Government - U.S. Agency for International Development,Completion,0.0,2015-10-01,2016-09-30,3619.44,43010,Multisector aid,Education and Social Services,2015
3144,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2016-10-01,2017-09-30,2160.23999999999,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2016
3145,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2013-10-01,2017-09-30,10692.09,72010,Material relief assistance and services,Humanitarian Assistance,2013
3146,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2014-10-01,2017-09-30,3756.21,72010,Material relief assistance and services,Humanitarian Assistance,2014
3147,U.S. Agency for International Development,"Chemonics International, Inc.",Completion,0.0,2013-01-07,2017-09-30,3101967.0,72010,Material relief assistance and services,Humanitarian Assistance,2013
3148,U.S. Agency for International Development,U.S. Government - U.S. Agency for International Development,Completion,0.0,2015-10-01,2016-09-30,2282.86,43010,Multisector aid,Education and Social Services,2015
3149,U.S. Agency for International Development,United Nations Population Fund,Completion,0.0,2012-10-01,2017-09-30,2000000.0,72010,Material relief assistance and services,Humanitarian Assistance,2012
3150,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2012-10-01,2014-09-30,285.54,74010,Disaster prevention and preparedness,Humanitarian Assistance,2012
3151,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2013-10-01,2014-09-30,1196.9,72010,Material relief assistance and services,Humanitarian Assistance,2013
3152,U.S. Agency for International Development,Vendor implementing direct administrative services,Completion,0.0,2012-10-01,2013-09-30,11200.0,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2012
3153,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2012-10-01,2015-09-30,1000000.0,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2012
3154,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2012-06-28,2017-09-30,31400000.0,72040,Emergency food aid,Humanitarian Assistance,2012
3156,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2012-10-01,2017-09-30,1396.9,72010,Material relief assistance and services,Humanitarian Assistance,2012
3157,U.S. Agency for International Development,U.S. Government - Department of State,Completion,0.0,2012-10-01,2014-09-30,59.0799999999999,72010,Material relief assistance and services,Humanitarian Assistance,2012
3158,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2014-08-15,2016-09-30,103864.0,72010,Material relief assistance and services,Humanitarian Assistance,2014
3159,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2012-10-01,2014-09-30,19381.6399999999,72010,Material relief assistance and services,Humanitarian Assistance,2012
3160,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2015-10-01,2016-09-30,2586.67999999999,72010,Material relief assistance and services,Humanitarian Assistance,2015
3162,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,46620000.0,2015-10-01,2017-09-30,527479.42,72010,Material relief assistance and services,Humanitarian Assistance,2015
3163,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2012-10-01,2016-09-30,1095.4,74010,Disaster prevention and preparedness,Humanitarian Assistance,2012
3164,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2016-10-01,2017-09-30,7012.86999999999,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2016
3165,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2015-10-01,2017-09-30,4800.39,72010,Material relief assistance and services,Humanitarian Assistance,2015
3166,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,4350000.0,2012-11-27,2017-09-30,201498.359999999,72010,Material relief assistance and services,Humanitarian Assistance,2012
3167,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2016-10-01,2017-09-30,8702.35,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2016
3168,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,0.0,2013-08-28,2018-09-30,369000.0,72040,Emergency food aid,Humanitarian Assistance,2013
3170,U.S. Agency for International Development,Enterprise - Non United States Unknown,Completion,0.0,2013-10-01,2014-09-30,7897.44999999999,72010,Material relief assistance and services,Humanitarian Assistance,2013
3171,U.S. Agency for International Development,"Chemonics International, Inc.",Completion,0.0,2012-10-01,2017-09-30,8718.92,43010,Multisector aid,Program Management,2012
3172,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2013-10-01,2015-09-30,15.0,72010,Material relief assistance and services,Humanitarian Assistance,2013
3173,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2012-10-01,2014-09-30,3793.34,72010,Material relief assistance and services,Humanitarian Assistance,2012
3174,U.S. Agency for International Development,U.S. Government - Department of State,Completion,0.0,2013-10-01,2015-09-30,4605.0,72010,Material relief assistance and services,Humanitarian Assistance,2013
3175,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2013-10-01,2017-09-30,4687385.0,72040,Emergency food aid,Humanitarian Assistance,2013
3177,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,9601719.0,2015-10-01,2017-09-30,2447500.0,72010,Material relief assistance and services,Humanitarian Assistance,2015
3178,U.S. Agency for International Development,"Training Resources Group, Inc.",Completion,0.0,2012-10-01,2017-09-30,32729.0,43010,Multisector aid,Program Management,2012
3179,U.S. Agency for International Development,U.S. Government - Department of State,Completion,0.0,2012-10-01,2017-09-30,250000.0,72010,Material relief assistance and services,Humanitarian Assistance,2012
3180,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2015-10-01,2017-09-30,987.83,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2015
3181,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2015-10-01,2017-09-30,19219.0099999999,72010,Material relief assistance and services,Humanitarian Assistance,2015
3182,U.S. Agency for International Development,Enterprise - Non United States Unknown,Completion,0.0,2014-10-01,2015-09-30,8776.45,43010,Multisector aid,Education and Social Services,2014
3183,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2012-10-01,2014-09-30,250.0,72010,Material relief assistance and services,Humanitarian Assistance,2012
3184,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,0.0,2012-10-01,2018-09-30,17942.0999999999,52010,Food aid/Food security programmes,Humanitarian Assistance,2012
3185,U.S. Agency for International Development,Vendor implementing direct administrative services,Completion,0.0,2016-10-01,2017-09-30,31017.6899999999,43010,Multisector aid,Program Management,2016
3187,U.S. Agency for International Development,Vendor implementing direct administrative services,Completion,0.0,2013-10-01,2014-09-30,16544.5,91010,Administrative costs,Program Management,2013
3188,U.S. Agency for International Development,"Chemonics International, Inc.",Completion,0.0,2013-01-07,2017-09-30,469019.109999999,72010,Material relief assistance and services,Humanitarian Assistance,2013
3189,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,0.0,2012-10-01,2018-09-30,106388.36,52010,Food aid/Food security programmes,Humanitarian Assistance,2012
3191,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,0.0,2013-05-01,2018-09-30,1113080.0,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2013
3194,U.S. Agency for International Development,"Development Transformations, Llc",Implementation,3616973.0,2014-10-01,2018-09-30,91853.61,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2014
3195,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2012-10-01,2014-09-30,6487.05,72010,Material relief assistance and services,Humanitarian Assistance,2012
3197,U.S. Agency for International Development,United Nations Children's Fund,Completion,0.0,2012-10-01,2016-09-30,2914089.12,72010,Material relief assistance and services,Humanitarian Assistance,2012
3198,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,10850338.0,2013-10-01,2018-09-30,2287000.0,72040,Emergency food aid,Humanitarian Assistance,2013
3199,U.S. Agency for International Development,United Nations Population Fund,Completion,0.0,2012-10-01,2017-09-30,2000000.0,72010,Material relief assistance and services,Humanitarian Assistance,2012
3200,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,0.0,2013-10-01,2018-09-30,722061.439999999,72040,Emergency food aid,Humanitarian Assistance,2013
3201,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2012-10-01,2014-09-30,4641.0,43010,Multisector aid,Program Management,2012
3202,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,1498209.0,2015-07-15,2017-09-30,100027.0,72010,Material relief assistance and services,Humanitarian Assistance,2015
3203,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2012-10-01,2014-09-30,229.46,74010,Disaster prevention and preparedness,Humanitarian Assistance,2012
3204,U.S. Agency for International Development,U.S. Government - U.S. Agency for International Development,Completion,0.0,2014-10-01,2015-09-30,14370.2,43010,Multisector aid,Education and Social Services,2014
3205,U.S. Agency for International Development,U.S. Government - Department of State,Completion,0.0,2012-10-01,2013-09-30,161.19,74010,Disaster prevention and preparedness,Humanitarian Assistance,2012
3206,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,838852.0,2012-10-01,2018-09-30,48187.0,52010,Food aid/Food security programmes,Humanitarian Assistance,2012
3207,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2013-08-26,2016-09-30,3998541.0,72010,Material relief assistance and services,Humanitarian Assistance,2013
3208,U.S. Agency for International Development,U.S. Government - U.S. Agency for International Development,Completion,0.0,2015-10-01,2016-09-30,998.169999999999,43010,Multisector aid,Education and Social Services,2015
3209,U.S. Agency for International Development,United Nations Children's Fund,Completion,0.0,2014-01-01,2016-09-30,7645483.33999999,72010,Material relief assistance and services,Humanitarian Assistance,2014
3210,U.S. Agency for International Development,Unspecified Vendors - Bosnia and Herzegovina,Completion,0.0,2016-10-01,2017-09-30,36.03,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2016
3211,U.S. Agency for International Development,Vendor implementing direct administrative services,Completion,0.0,2014-10-01,2015-09-30,13615.37,91010,Administrative costs,Program Management,2014
3213,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,1256311.0,2012-10-01,2018-09-30,159000.429999999,52010,Food aid/Food security programmes,Humanitarian Assistance,2012
3214,U.S. Agency for International Development,United Nations Children's Fund,Completion,0.0,2012-09-20,2015-09-30,201060.579999999,72010,Material relief assistance and services,Humanitarian Assistance,2012
3215,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,0.0,2013-09-05,2018-09-30,214035.89,72010,Material relief assistance and services,Humanitarian Assistance,2013
3216,U.S. Department of State,CELESTAR CORPORATION,Completion ,6500000.0,2016-05-03,2018-05-02,4767.89999999999,43010,Multisector aid,Multi-sector,2016
3217,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,0.0,2013-08-28,2018-09-30,1370000.0,72040,Emergency food aid,Humanitarian Assistance,2013
3218,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2015-01-28,2017-09-30,9000000.0,72010,Material relief assistance and services,Humanitarian Assistance,2015
3219,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,1498209.0,2015-07-15,2017-09-30,348262.0,72010,Material relief assistance and services,Humanitarian Assistance,2015
3220,U.S. Department of State,CELESTAR CORPORATION,Completion ,6500000.0,2016-05-03,2018-05-02,327.56,43010,Multisector aid,Multi-sector,2016
3221,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,0.0,2016-10-01,2018-09-30,2570.07,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2016
3222,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,0.0,2013-08-28,2018-09-30,78000.0,72040,Emergency food aid,Humanitarian Assistance,2013
3223,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2015-10-01,2017-09-30,7217.77,72010,Material relief assistance and services,Humanitarian Assistance,2015
3224,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2016-10-01,2017-09-30,1711.94,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2016
3225,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2012-10-01,2014-09-30,14250.3799999999,72010,Material relief assistance and services,Humanitarian Assistance,2012
3226,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,1013422.0,2014-10-01,2017-09-30,275302.9,72010,Material relief assistance and services,Humanitarian Assistance,2014
3227,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2013-10-01,2014-09-30,10382.57,72010,Material relief assistance and services,Humanitarian Assistance,2013
3228,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2013-10-01,2015-09-30,1918.0,43010,Multisector aid,Program Management,2013
3229,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,23475440.0,2015-09-01,2017-09-30,667865.0,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2015
3230,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2012-10-01,2014-09-30,9750.39999999999,72010,Material relief assistance and services,Humanitarian Assistance,2012
3231,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2012-06-28,2017-09-30,31400000.0,72040,Emergency food aid,Humanitarian Assistance,2012
3233,U.S. Agency for International Development,Vendor implementing direct administrative services,Completion,0.0,2015-10-01,2016-09-30,109.0,91010,Administrative costs,Program Management,2015
3234,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2015-10-01,2017-09-30,3808.13999999999,72010,Material relief assistance and services,Humanitarian Assistance,2015
3235,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2013-10-01,2015-09-30,1408.5,72010,Material relief assistance and services,Humanitarian Assistance,2013
3236,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2015-10-01,2016-09-30,753.21,72010,Material relief assistance and services,Humanitarian Assistance,2015
3238,U.S. Agency for International Development,"Development Transformations, Llc",Completion,0.0,2014-04-17,2015-09-30,406223.659999999,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2014
3239,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2013-10-01,2017-09-30,22398.7599999999,72010,Material relief assistance and services,Humanitarian Assistance,2013
3240,U.S. Department of State,CELESTAR CORPORATION,Completion ,6500000.0,2016-05-03,2018-05-02,2004.65,43010,Multisector aid,Multi-sector,2016
3243,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,0.0,2016-10-01,2018-09-30,15460.8099999999,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2016
3244,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,4338717.98,2012-11-27,2017-09-30,11282.02,72010,Material relief assistance and services,Humanitarian Assistance,2012
3245,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2014-10-01,2017-09-30,43769.1699999999,72040,Emergency food aid,Humanitarian Assistance,2014
3246,U.S. Agency for International Development,"Chemonics International, Inc.",Completion,128501308.0,2013-01-07,2017-09-30,3099561.7,72010,Material relief assistance and services,Humanitarian Assistance,2013
3247,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2012-10-01,2014-09-30,1645.05999999999,72010,Material relief assistance and services,Humanitarian Assistance,2012
3248,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,0.0,2013-08-28,2018-09-30,2242000.0,72040,Emergency food aid,Humanitarian Assistance,2013
3250,U.S. Agency for International Development,United Nations Children's Fund,Completion,2500000.0,2013-10-01,2016-09-30,1064021.38999999,72010,Material relief assistance and services,Humanitarian Assistance,2013
3251,U.S. Agency for International Development,U.S. Government - Department of State,Completion,0.0,2014-10-01,2017-09-30,9210.0,72010,Material relief assistance and services,Humanitarian Assistance,2014
3252,U.S. Agency for International Development,Vendor implementing direct administrative services,Completion,0.0,2015-10-01,2016-09-30,40080.12,43010,Multisector aid,Program Management,2015
3253,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,0.0,2013-10-01,2018-09-30,128656.0,72040,Emergency food aid,Humanitarian Assistance,2013
3254,U.S. Agency for International Development,"Development Transformations, Llc",Completion,0.0,2014-04-17,2015-09-30,34755.83,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2014
3255,U.S. Agency for International Development,Vendor implementing direct administrative services,Completion,0.0,2013-10-01,2014-09-30,31055.2999999999,91010,Administrative costs,Program Management,2013
3257,U.S. Agency for International Development,"Chemonics International, Inc.",Completion,56000000.0,2012-10-01,2017-09-30,1698.77,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2012
3258,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,0.0,2013-10-01,2018-09-30,1339000.0,72040,Emergency food aid,Humanitarian Assistance,2013
3261,U.S. Agency for International Development,Consortium for Elections and Political Process Strengthening,Implementation,4000000.0,2015-06-15,2018-06-19,288455.27,15151,Elections,"Democracy, Human Rights, and Governance",2015
3263,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2015-10-01,2017-09-30,95.0,72010,Material relief assistance and services,Humanitarian Assistance,2015
3265,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,65000.0,2014-10-01,2018-09-30,6914.02999999999,72010,Material relief assistance and services,Humanitarian Assistance,2014
3266,U.S. Department of State,CELESTAR CORPORATION,Completion ,6500000.0,2016-05-03,2018-05-02,425.8,43010,Multisector aid,Multi-sector,2016
3267,U.S. Agency for International Development,Vendor implementing direct administrative services,Completion,0.0,2015-10-01,2016-09-30,7386.02,91010,Administrative costs,Program Management,2015
3268,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2013-10-01,2014-09-30,19965.0499999999,72010,Material relief assistance and services,Humanitarian Assistance,2013
3270,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2012-10-01,2014-09-30,6589.0,72010,Material relief assistance and services,Humanitarian Assistance,2012
3271,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,7500000.0,2015-06-01,2017-09-30,2111181.52999999,72010,Material relief assistance and services,Humanitarian Assistance,2015
3272,U.S. Agency for International Development,World Food Program,Completion,0.0,2012-10-01,2013-09-30,700200.0,72040,Emergency food aid,Humanitarian Assistance,2012
3273,U.S. Agency for International Development,U.S. Government - Department of State,Completion,0.0,2015-10-01,2017-09-30,1875.0,72010,Material relief assistance and services,Humanitarian Assistance,2015
3274,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,65993.0,2013-10-01,2017-09-30,9007.21999999999,72010,Material relief assistance and services,Humanitarian Assistance,2013
3275,U.S. Agency for International Development,Vendor implementing direct administrative services,Completion,0.0,2013-10-01,2014-09-30,267100.53,43010,Multisector aid,Program Management,2013
3276,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,0.0,2013-09-05,2018-09-30,528073.87,72010,Material relief assistance and services,Humanitarian Assistance,2013
3277,U.S. Agency for International Development,"Chemonics International, Inc.",Completion,128501308.0,2013-01-07,2017-09-30,390463.109999999,72010,Material relief assistance and services,Humanitarian Assistance,2013
3278,U.S. Agency for International Development,"Training Resources Group, Inc.",Completion,0.0,2012-10-01,2017-09-30,32729.0,43010,Multisector aid,Program Management,2012
3279,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2015-10-01,2016-09-30,6085.0,72010,Material relief assistance and services,Humanitarian Assistance,2015
3281,U.S. Agency for International Development,Vendor implementing direct administrative services,Completion,0.0,2015-10-01,2016-09-30,402.639999999999,91010,Administrative costs,Program Management,2015
3283,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2014-10-01,2017-09-30,4472.81,72010,Material relief assistance and services,Humanitarian Assistance,2014
3284,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2013-08-28,2017-09-30,1297270.0,72010,Material relief assistance and services,Humanitarian Assistance,2013
3286,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,7005368.0,2013-10-01,2017-09-30,50000.0,72040,Emergency food aid,Humanitarian Assistance,2013
3287,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2015-10-01,2017-09-30,13293.0,72010,Material relief assistance and services,Humanitarian Assistance,2015
3288,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2012-10-01,2014-09-30,14.0,72010,Material relief assistance and services,Humanitarian Assistance,2012
3289,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2012-11-27,2017-09-30,129575.289999999,72010,Material relief assistance and services,Humanitarian Assistance,2012
